"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2004-09";"TONA";"0.005"
"2004-09";"SONIA";"4.6412"
"2004-09";"3M3";"4.91875"
"2004-09";"ESTR";
"2004-09";"EURIBOR";"2.15"
"2004-10";"SARON";"0.63083"
"2004-10";"1TGT";"0.58"
"2004-10";"EG3M";"0.59"
"2004-10";"SOFR";
"2004-10";"3M1";"2.17"
"2004-10";"TONA";"0.002"
"2004-10";"SONIA";"4.6004"
"2004-10";"3M3";"4.8975"
"2004-10";"ESTR";
"2004-10";"EURIBOR";"2.153"
"2004-11";"SARON";"0.503354"
"2004-11";"1TGT";"0.45"
"2004-11";"EG3M";"0.634"
"2004-11";"SOFR";
"2004-11";"3M1";"2.41"
"2004-11";"TONA";"0.001"
"2004-11";"SONIA";"4.7724"
"2004-11";"3M3";"4.85906"
"2004-11";"ESTR";
"2004-11";"EURIBOR";"2.176"
"2004-12";"SARON";"0.497394"
"2004-12";"1TGT";"0.55"
"2004-12";"EG3M";"0.634"
"2004-12";"SOFR";
"2004-12";"3M1";"2.56438"
"2004-12";"TONA";"0.002"
"2004-12";"SONIA";"4.8016"
"2004-12";"3M3";"4.885"
"2004-12";"ESTR";
"2004-12";"EURIBOR";"2.155"
"2005-01";"SARON";"0.654176"
"2005-01";"1TGT";"0.6"
"2005-01";"EG3M";"0.666"
"2005-01";"SOFR";
"2005-01";"3M1";"2.75"
"2005-01";"TONA";"0.001"
"2005-01";"SONIA";"4.6468"
"2005-01";"3M3";"4.86813"
"2005-01";"ESTR";
"2005-01";"EURIBOR";"2.142"
"2005-02";"SARON";"0.67587"
"2005-02";"1TGT";"0.63"
"2005-02";"EG3M";"0.709"
"2005-02";"SOFR";
"2005-02";"3M1";"2.92"
"2005-02";"TONA";"0.001"
"2005-02";"SONIA";"5.2804"
"2005-02";"3M3";"4.95625"
"2005-02";"ESTR";
"2005-02";"EURIBOR";"2.136"
"2005-03";"SARON";"0.809343"
"2005-03";"1TGT";"0.75"
"2005-03";"EG3M";"0.694"
"2005-03";"SOFR";
"2005-03";"3M1";"3.12"
"2005-03";"TONA";"0.022"
"2005-03";"SONIA";"4.8668"
"2005-03";"3M3";"4.98313"
"2005-03";"ESTR";
"2005-03";"EURIBOR";"2.147"
"2005-04";"SARON";"0.646173"
"2005-04";"1TGT";"0.64"
"2005-04";"EG3M";"0.602"
"2005-04";"SOFR";
"2005-04";"3M1";"3.21"
"2005-04";"TONA";"0.001"
"2005-04";"SONIA";"4.8697"
"2005-04";"3M3";"4.93875"
"2005-04";"ESTR";
"2005-04";"EURIBOR";"2.126"
"2005-05";"SARON";"0.665846"
"2005-05";"1TGT";"0.66"
"2005-05";"EG3M";"0.682"
"2005-05";"SOFR";
"2005-05";"3M1";"3.3375"
"2005-05";"TONA";"0.002"
"2005-05";"SONIA";"4.756"
"2005-05";"3M3";"4.86688"
"2005-05";"ESTR";
"2005-05";"EURIBOR";"2.127"
"2005-06";"SARON";"0.631008"
"2005-06";"1TGT";"0.58"
"2005-06";"EG3M";"0.662"
"2005-06";"SOFR";
"2005-06";"3M1";"3.51625"
"2005-06";"TONA";"0.001"
"2005-06";"SONIA";"4.8483"
"2005-06";"3M3";"4.75"
"2005-06";"ESTR";
"2005-06";"EURIBOR";"2.106"
"2005-07";"SARON";"0.678098"
"2005-07";"1TGT";"0.63"
"2005-07";"EG3M";"0.65"
"2005-07";"SOFR";
"2005-07";"3M1";"3.7"
"2005-07";"TONA";"0.001"
"2005-07";"SONIA";"4.6204"
"2005-07";"3M3";"4.61938"
"2005-07";"ESTR";
"2005-07";"EURIBOR";"2.125"
"2005-08";"SARON";"0.677405"
"2005-08";"1TGT";"0.63"
"2005-08";"EG3M";"0.678"
"2005-08";"SOFR";
"2005-08";"3M1";"3.87"
"2005-08";"TONA";"0.001"
"2005-08";"SONIA";"4.7577"
"2005-08";"3M3";"4.58938"
"2005-08";"ESTR";
"2005-08";"EURIBOR";"2.134"
"2005-09";"SARON";"0.674366"
"2005-09";"1TGT";"0.63"
"2005-09";"EG3M";"0.686"
"2005-09";"SOFR";
"2005-09";"3M1";"4.065"
"2005-09";"TONA";"0.004"
"2005-09";"SONIA";"4.3942"
"2005-09";"3M3";"4.6"
"2005-09";"ESTR";
"2005-09";"EURIBOR";"2.176"
"2005-10";"SARON";"0.673334"
"2005-10";"1TGT";"0.61"
"2005-10";"EG3M";"0.745"
"2005-10";"SOFR";
"2005-10";"3M1";"4.26"
"2005-10";"TONA";"0"
"2005-10";"SONIA";"4.3925"
"2005-10";"3M3";"4.60688"
"2005-10";"ESTR";
"2005-10";"EURIBOR";"2.263"
"2005-11";"SARON";"0.68404"
"2005-11";"1TGT";"0.63"
"2005-11";"EG3M";"0.868"
"2005-11";"SOFR";
"2005-11";"3M1";"4.42"
"2005-11";"TONA";"0.001"
"2005-11";"SONIA";"4.7196"
"2005-11";"3M3";"4.6175"
"2005-11";"ESTR";
"2005-11";"EURIBOR";"2.473"
"2005-12";"SARON";"0.609864"
"2005-12";"1TGT";"0.63"
"2005-12";"EG3M";"0.9"
"2005-12";"SOFR";
"2005-12";"3M1";"4.53625"
"2005-12";"TONA";"0.004"
"2005-12";"SONIA";"4.7627"
"2005-12";"3M3";"4.63938"
"2005-12";"ESTR";
"2005-12";"EURIBOR";"2.488"
"2006-01";"SARON";"0.828563"
"2006-01";"1TGT";"0.75"
"2006-01";"EG3M";"0.916"
"2006-01";"SOFR";
"2006-01";"3M1";"4.68"
"2006-01";"TONA";"0.001"
"2006-01";"SONIA";"4.7004"
"2006-01";"3M3";"4.59813"
"2006-01";"ESTR";
"2006-01";"EURIBOR";"2.547"
"2006-02";"SARON";"0.895374"
"2006-02";"1TGT";"0.91"
"2006-02";"EG3M";"1"
"2006-02";"SOFR";
"2006-02";"3M1";"4.8225"
"2006-02";"TONA";"0.002"
"2006-02";"SONIA";"4.6553"
"2006-02";"3M3";"4.57875"
"2006-02";"ESTR";
"2006-02";"EURIBOR";"2.664"
"2006-03";"SARON";"1.05294"
"2006-03";"1TGT";"1.03"
"2006-03";"EG3M";"1.091"
"2006-03";"SOFR";
"2006-03";"3M1";"5"
"2006-03";"TONA";"0.004"
"2006-03";"SONIA";"4.7528"
"2006-03";"3M3";"4.61188"
"2006-03";"ESTR";
"2006-03";"EURIBOR";"2.816"
"2006-04";"SARON";"1.187275"
"2006-04";"1TGT";"1.22"
"2006-04";"EG3M";"1.147"
"2006-04";"SOFR";
"2006-04";"3M1";"5.13"
"2006-04";"TONA";"0.006"
"2006-04";"SONIA";"4.4299"
"2006-04";"3M3";"4.665"
"2006-04";"ESTR";
"2006-04";"EURIBOR";"2.852"
"2006-05";"SARON";"1.11309"
"2006-05";"1TGT";"1.16"
"2006-05";"EG3M";"1.26"
"2006-05";"SOFR";
"2006-05";"3M1";"5.23813"
"2006-05";"TONA";"0.021"
"2006-05";"SONIA";"4.6207"
"2006-05";"3M3";"4.71063"
"2006-05";"ESTR";
"2006-05";"EURIBOR";"2.926"
"2006-06";"SARON";"1.242492"
"2006-06";"1TGT";"1.27"
"2006-06";"EG3M";"1.326"
"2006-06";"SOFR";
"2006-06";"3M1";"5.48063"
"2006-06";"TONA";"0.027"
"2006-06";"SONIA";"4.7194"
"2006-06";"3M3";"4.75375"
"2006-06";"ESTR";
"2006-06";"EURIBOR";"3.056"
"2006-07";"SARON";"1.345125"
"2006-07";"1TGT";"1.3"
"2006-07";"EG3M";"1.334"
"2006-07";"SOFR";
"2006-07";"3M1";"5.46563"
"2006-07";"TONA";"0.267"
"2006-07";"SONIA";"4.8059"
"2006-07";"3M3";"4.77688"
"2006-07";"ESTR";
"2006-07";"EURIBOR";"3.161"
"2006-08";"SARON";"1.370228"
"2006-08";"1TGT";"1.33"
"2006-08";"EG3M";"1.417"
"2006-08";"SOFR";
"2006-08";"3M1";"5.3975"
"2006-08";"TONA";"0.266"
"2006-08";"SONIA";"4.8703"
"2006-08";"3M3";"4.9825"
"2006-08";"ESTR";
"2006-08";"EURIBOR";"3.264"
"2006-09";"SARON";"1.682963"
"2006-09";"1TGT";"1.61"
"2006-09";"EG3M";"1.569"
"2006-09";"SOFR";
